#Graph gt5.kmer27.(2395000.2400000).V9.E14.mincyc2
14,14,5
time_safety:               0.1255237669683993
edge_variables=1:          24
edge_variables>=1:         5
preprocess_safety:         0.0013737299013882875
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       13
solved_safety: True
#Graph gt5.kmer27.(1280000.1285000).V16.E24.mincyc12
24,24,5
time_default: 0.13775912090204656
solved_default: True
time_safety:               0.08999819098971784
edge_variables=1:          19
edge_variables>=1:         11
preprocess_safety:         0.0009842149447649717
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       15
solved_safety: True
#Graph gt5.kmer27.(355000.360000).V20.E30.mincyc8
30,30,5
time_default: 0.19566857302561402
solved_default: True
time_safety:               0.12143445899710059
edge_variables=1:          20
edge_variables>=1:         13
preprocess_safety:         0.0011174669489264488
number_of_nontrivial_SCCs: 2
size_of_largest_SCC:       10
solved_safety: True
#Graph gt5.kmer27.(4150000.4155000).V12.E18.mincyc4
18,18,5
time_default: 0.08310567797161639
solved_default: True
time_safety:               0.06388695002533495
edge_variables=1:          19
edge_variables>=1:         8
preprocess_safety:         0.0006780491676181555
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       9
solved_safety: True
#Graph gt5.kmer27.(495000.500000).V12.E18.mincyc1
18,18,5
time_default: 0.07043483201414347
solved_default: True
time_safety:               0.06396571802906692
edge_variables=1:          22
edge_variables>=1:         3
preprocess_safety:         0.0006030071526765823
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(3905000.3910000).V7.E11.mincyc1
11,11,5
time_default: 0.051563007989898324
solved_default: True
time_safety:               0.03593176300637424
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.0003749870229512453
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(775000.780000).V25.E36.mincyc4
36,36,5
time_default: 0.20147718209773302
solved_default: True
time_safety:               0.1391964207869023
edge_variables=1:          28
edge_variables>=1:         6
preprocess_safety:         0.001517249969765544
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       11
solved_safety: True
#Graph gt5.kmer27.(4430000.4435000).V7.E11.mincyc1
11,11,5
time_default: 0.04184079100377858
solved_default: True
time_safety:               0.03566240496002138
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.0003707190044224262
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(3095000.3100000).V9.E14.mincyc2
14,14,5
time_default: 0.07151266396977007
solved_default: True
time_safety:               0.05041211890056729
edge_variables=1:          19
edge_variables>=1:         7
preprocess_safety:         0.000497488072142005
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       5
solved_safety: True
#Graph gt5.kmer27.(2390000.2395000).V7.E11.mincyc1
11,11,5
time_default: 0.046150736045092344
solved_default: True
time_safety:               0.038352354895323515
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.00036740186624228954
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(2795000.2800000).V7.E11.mincyc1
11,11,5
time_default: 0.04657567688263953
solved_default: True
time_safety:               0.041054359870031476
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.0003688561264425516
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(1865000.1870000).V13.E20.mincyc4
20,20,5
time_default: 0.10365485399961472
solved_default: True
time_safety:               0.07158595300279558
edge_variables=1:          19
edge_variables>=1:         6
preprocess_safety:         0.0007654631044715643
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       11
solved_safety: True
#Graph gt5.kmer27.(1950000.1955000).V10.E15.mincyc2
15,15,5
time_default: 0.06800633389502764
solved_default: True
time_safety:               0.05054159299470484
edge_variables=1:          19
edge_variables>=1:         5
preprocess_safety:         0.0005272841081023216
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       6
solved_safety: True
#Graph gt5.kmer27.(4090000.4095000).V13.E20.mincyc4
20,20,5
time_default: 0.09795423783361912
solved_default: True
time_safety:               0.07041272101923823
edge_variables=1:          19
edge_variables>=1:         11
preprocess_safety:         0.00074387202039361
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       11
solved_safety: True
#Graph gt5.kmer27.(2735000.2740000).V22.E37.mincyc12
37,37,5
time_default: 1.4917746279388666
solved_default: True
time_safety:               0.16229080501943827
edge_variables=1:          19
edge_variables>=1:         9
preprocess_safety:         0.0016048650722950697
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       28
solved_safety: True
#Graph gt5.kmer27.(3670000.3675000).V8.E13.mincyc1
13,13,5
time_default: 0.0653998909983784
solved_default: True
time_safety:               0.05087012192234397
edge_variables=1:          18
edge_variables>=1:         3
preprocess_safety:         0.00045285397209227085
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(1550000.1555000).V7.E11.mincyc1
11,11,5
time_default: 0.04844147386029363
solved_default: True
time_safety:               0.04092571698129177
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.00038060685619711876
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(2130000.2135000).V8.E13.mincyc1
13,13,5
time_default: 0.05826342897489667
solved_default: True
time_safety:               0.047686170088127255
edge_variables=1:          17
edge_variables>=1:         2
preprocess_safety:         0.0004589448217302561
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       4
solved_safety: True
#Graph gt5.kmer27.(1285000.1290000).V20.E30.mincyc14
30,30,5
time_default: 0.1610506570432335
solved_default: True
time_safety:               0.10006349394097924
edge_variables=1:          20
edge_variables>=1:         7
preprocess_safety:         0.0012723079416900873
number_of_nontrivial_SCCs: 2
size_of_largest_SCC:       18
solved_safety: True
#Graph gt5.kmer27.(70000.75000).V230.E323.mincyc1
323,323,4
time_default: 2.2761456652078778
solved_default: True
time_safety:               1.5580696128308773
edge_variables=1:          130
edge_variables>=1:         3
preprocess_safety:         0.03324137115851045
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(4395000.4400000).V11.E17.mincyc3
17,17,5
time_default: 0.08255896810442209
solved_default: True
time_safety:               0.06040341313928366
edge_variables=1:          19
edge_variables>=1:         5
preprocess_safety:         0.0006654451135545969
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       8
solved_safety: True
#Graph gt5.kmer27.(3315000.3320000).V9.E14.mincyc2
14,14,5
time_default: 0.06340808817185462
solved_default: True
time_safety:               0.05023193918168545
edge_variables=1:          19
edge_variables>=1:         6
preprocess_safety:         0.00048415292985737324
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       5
solved_safety: True
#Graph gt5.kmer27.(4530000.4535000).V17.E26.mincyc10
26,26,5
time_default: 0.3093460709787905
solved_default: True
time_safety:               0.0866916379891336
edge_variables=1:          19
edge_variables>=1:         6
preprocess_safety:         0.001215099822729826
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       17
solved_safety: True
#Graph gt5.kmer27.(4205000.4210000).V25.E39.mincyc67
39,39,5
time_default: 0.22580979182384908
solved_default: True
time_safety:               0.13715336006134748
edge_variables=1:          19
edge_variables>=1:         6
preprocess_safety:         0.0022736459504812956
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       30
solved_safety: True
#Graph gt5.kmer27.(3860000.3865000).V13.E19.mincyc4
19,19,5
time_default: 0.07419382920488715
solved_default: True
time_safety:               0.053104424150660634
edge_variables=1:          19
edge_variables>=1:         7
preprocess_safety:         0.0006800119299441576
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       10
solved_safety: True
#Graph gt5.kmer27.(935000.940000).V15.E22.mincyc2
22,22,5
time_default: 0.08254068321548402
solved_default: True
time_safety:               0.07213062909431756
edge_variables=1:          22
edge_variables>=1:         5
preprocess_safety:         0.0007574181072413921
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       6
solved_safety: True
#Graph gt5.kmer27.(475000.480000).V12.E18.mincyc2
18,18,5
time_default: 0.08024219004437327
solved_default: True
time_safety:               0.06945026712492108
edge_variables=1:          20
edge_variables>=1:         5
preprocess_safety:         0.0006279228255152702
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       6
solved_safety: True
#Graph gt5.kmer27.(2945000.2950000).V9.E14.mincyc2
14,14,5
time_default: 0.06224169791676104
solved_default: True
time_safety:               0.05712825898081064
edge_variables=1:          19
edge_variables>=1:         6
preprocess_safety:         0.000493199098855257
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       5
solved_safety: True
#Graph gt5.kmer27.(3225000.3230000).V9.E14.mincyc2
14,14,5
time_default: 0.048438078025355935
solved_default: True
time_safety:               0.04043690604157746
edge_variables=1:          19
edge_variables>=1:         5
preprocess_safety:         0.00046604801900684834
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       5
solved_safety: True
#Graph gt5.kmer27.(1900000.1905000).V7.E11.mincyc1
11,11,5
time_default: 0.049451177939772606
solved_default: True
time_safety:               0.041088643949478865
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.0003766999579966068
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(1675000.1680000).V7.E11.mincyc1
11,11,5
time_default: 0.04508063895627856
solved_default: True
time_safety:               0.03831800096668303
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.00036482815630733967
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(3280000.3285000).V7.E11.mincyc1
11,11,5
time_default: 0.04430416598916054
solved_default: True
time_safety:               0.03825506288558245
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.00037614908069372177
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(4520000.4525000).V24.E35.mincyc20
35,35,5
time_default: 0.2155546611174941
solved_default: True
time_safety:               0.12371676205657423
edge_variables=1:          19
edge_variables>=1:         17
preprocess_safety:         0.0014017720241099596
number_of_nontrivial_SCCs: 2
size_of_largest_SCC:       17
solved_safety: True
#Graph gt5.kmer27.(1130000.1135000).V33.E46.mincyc1
46,46,5
time_default: 0.18691969313658774
solved_default: True
time_safety:               0.17463219002820551
edge_variables=1:          36
edge_variables>=1:         3
preprocess_safety:         0.0020517578814178705
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(430000.435000).V11.E17.mincyc1
17,17,5
time_default: 0.0723464370239526
solved_default: True
time_safety:               0.057167222956195474
edge_variables=1:          19
edge_variables>=1:         4
preprocess_safety:         0.0006241558585315943
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       4
solved_safety: True
#Graph gt5.kmer27.(4200000.4205000).V10.E17.mincyc3
17,17,5
time_default: 0.08412559097632766
solved_default: True
time_safety:               0.06077847117558122
edge_variables=1:          18
edge_variables>=1:         7
preprocess_safety:         0.000617113895714283
number_of_nontrivial_SCCs: 3
size_of_largest_SCC:       3
solved_safety: True
#Graph gt5.kmer27.(3425000.3430000).V10.E15.mincyc2
15,15,5
time_default: 0.07390859117731452
solved_default: True
time_safety:               0.05733678210526705
edge_variables=1:          19
edge_variables>=1:         5
preprocess_safety:         0.0005012848414480686
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       6
solved_safety: True
#Graph gt5.kmer27.(1785000.1790000).V14.E21.mincyc6
21,21,5
time_default: 0.10373197006992996
solved_default: True
time_safety:               0.06837086309678853
edge_variables=1:          19
edge_variables>=1:         8
preprocess_safety:         0.0007813118863850832
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       12
solved_safety: True
#Graph gt5.kmer27.(3640000.3645000).V18.E26.mincyc16
26,26,5
time_default: 0.14003727701492608
solved_default: True
time_safety:               0.07806095900014043
edge_variables=1:          19
edge_variables>=1:         9
preprocess_safety:         0.0010055459570139647
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       17
solved_safety: True
#Graph gt5.kmer27.(155000.160000).V78.E106.mincyc2
106,106,5
time_default: 0.5264301470015198
solved_default: True
time_safety:               0.43983774702064693
edge_variables=1:          66
edge_variables>=1:         7
preprocess_safety:         0.005813719006255269
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       5
solved_safety: True
#Graph gt5.kmer27.(1065000.1070000).V39.E54.mincyc2
54,54,5
time_default: 0.21184661192819476
solved_default: True
time_safety:               0.1933542729821056
edge_variables=1:          38
edge_variables>=1:         5
preprocess_safety:         0.0022551221773028374
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       6
solved_safety: True
#Graph gt5.kmer27.(1530000.1535000).V7.E11.mincyc1
11,11,5
time_default: 0.04732078197412193
solved_default: True
time_safety:               0.04112012404948473
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.00036826380528509617
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(1465000.1470000).V18.E27.mincyc18
27,27,5
time_default: 0.22030293196439743
solved_default: True
time_safety:               0.11850017891265452
edge_variables=1:          19
edge_variables>=1:         9
preprocess_safety:         0.0011519519612193108
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       18
solved_safety: True
#Graph gt5.kmer27.(3480000.3485000).V7.E11.mincyc1
11,11,5
time_default: 0.048363046953454614
solved_default: True
time_safety:               0.041320460848510265
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.0003816590178757906
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(2300000.2305000).V21.E32.mincyc11
32,32,5
time_default: 0.19412369304336607
solved_default: True
time_safety:               0.12293570092879236
edge_variables=1:          19
edge_variables>=1:         18
preprocess_safety:         0.001302023883908987
number_of_nontrivial_SCCs: 2
size_of_largest_SCC:       12
solved_safety: True
#Graph gt5.kmer27.(3855000.3860000).V7.E11.mincyc1
11,11,5
time_default: 0.04285667696967721
solved_default: True
time_safety:               0.046120168175548315
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.00037113018333911896
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(4325000.4330000).V14.E21.mincyc6
21,21,5
time_default: 0.1219388609752059
solved_default: True
time_safety:               0.06821683212183416
edge_variables=1:          19
edge_variables>=1:         10
preprocess_safety:         0.0007850499823689461
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       12
solved_safety: True
#Graph gt5.kmer27.(3735000.3740000).V9.E14.mincyc2
14,14,5
time_default: 0.05255471798591316
solved_default: True
time_safety:               0.04398718778975308
edge_variables=1:          19
edge_variables>=1:         6
preprocess_safety:         0.0004953239113092422
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       5
solved_safety: True
#Graph gt5.kmer27.(1705000.1710000).V17.E26.mincyc10
26,26,5
time_default: 0.18454759195446968
solved_default: True
time_safety:               0.08535315585322678
edge_variables=1:          19
edge_variables>=1:         8
preprocess_safety:         0.0010861179325729609
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       17
solved_safety: True
#Graph gt5.kmer27.(865000.870000).V17.E25.mincyc5
25,25,5
time_default: 0.15691060503013432
solved_default: True
time_safety:               0.0955706259701401
edge_variables=1:          19
edge_variables>=1:         6
preprocess_safety:         0.0010016988962888718
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       14
solved_safety: True
#Graph gt5.kmer27.(305000.310000).V13.E20.mincyc5
20,20,5
time_default: 0.09530750010162592
solved_default: True
time_safety:               0.0657904481049627
edge_variables=1:          20
edge_variables>=1:         6
preprocess_safety:         0.0007463570218533278
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       11
solved_safety: True
#Graph gt5.kmer27.(690000.695000).V57.E79.mincyc100
79,79,5
time_default: 0.5389421740546823
solved_default: True
time_safety:               0.28275014995597303
edge_variables=1:          21
edge_variables>=1:         35
preprocess_safety:         0.003992516081780195
number_of_nontrivial_SCCs: 2
size_of_largest_SCC:       42
solved_safety: True
#Graph gt5.kmer27.(2205000.2210000).V7.E11.mincyc1
11,11,5
time_default: 0.045317186042666435
solved_default: True
time_safety:               0.046508791856467724
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.0003785439766943455
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(3890000.3895000).V7.E11.mincyc1
11,11,5
time_default: 0.05491449683904648
solved_default: True
time_safety:               0.043902549194172025
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.0003706091083586216
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(3645000.3650000).V7.E11.mincyc1
11,11,5
time_default: 0.03864824399352074
solved_default: True
time_safety:               0.035698122810572386
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.0003657289780676365
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(1585000.1590000).V13.E19.mincyc4
19,19,5
time_default: 0.08611958008259535
solved_default: True
time_safety:               0.06692062900401652
edge_variables=1:          19
edge_variables>=1:         7
preprocess_safety:         0.000687585910782218
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       10
solved_safety: True
#Graph gt5.kmer27.(2195000.2200000).V13.E20.mincyc6
20,20,5
time_default: 0.14126864890567958
solved_default: True
time_safety:               0.07838440896011889
edge_variables=1:          19
edge_variables>=1:         8
preprocess_safety:         0.0007371001411229372
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       11
solved_safety: True
#Graph gt5.kmer27.(2710000.2715000).V19.E29.mincyc10
29,29,5
time_default: 0.22031023702584207
solved_default: True
time_safety:               0.11052318196743727
edge_variables=1:          19
edge_variables>=1:         11
preprocess_safety:         0.0011829300783574581
number_of_nontrivial_SCCs: 2
size_of_largest_SCC:       10
solved_safety: True
#Graph gt5.kmer27.(3555000.3560000).V9.E14.mincyc2
14,14,5
time_default: 0.07280667405575514
solved_default: True
time_safety:               0.06204146100208163
edge_variables=1:          20
edge_variables>=1:         4
preprocess_safety:         0.0004698559641838074
number_of_nontrivial_SCCs: 2
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(390000.395000).V19.E28.mincyc8
28,28,5
time_default: 0.37467440217733383
solved_default: True
time_safety:               0.10416953498497605
edge_variables=1:          22
edge_variables>=1:         4
preprocess_safety:         0.0011507489252835512
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       15
solved_safety: True
#Graph gt5.kmer27.(580000.585000).V12.E18.mincyc1
18,18,5
time_default: 0.07129254005849361
solved_default: True
time_safety:               0.06434114603325725
edge_variables=1:          22
edge_variables>=1:         3
preprocess_safety:         0.0006122640334069729
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(1890000.1895000).V8.E13.mincyc2
13,13,5
time_default: 0.04665437596850097
solved_default: True
time_safety:               0.04082135995849967
edge_variables=1:          19
edge_variables>=1:         5
preprocess_safety:         0.00044917594641447067
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       4
solved_safety: True
#Graph gt5.kmer27.(3840000.3845000).V7.E11.mincyc1
11,11,5
time_default: 0.04582060407847166
solved_default: True
time_safety:               0.04711180902086198
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.0003752470947802067
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(4290000.4295000).V7.E11.mincyc1
11,11,5
time_default: 0.04569297400303185
solved_default: True
time_safety:               0.038519161054864526
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.0003786240704357624
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(3970000.3975000).V12.E20.mincyc5
20,20,5
time_default: 0.09495822200551629
solved_default: True
time_safety:               0.06965554505586624
edge_variables=1:          13
edge_variables>=1:         6
preprocess_safety:         0.0008576468098908663
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       11
solved_safety: True
#Graph gt5.kmer27.(4295000.4300000).V17.E26.mincyc7
26,26,5
time_default: 0.5778505699709058
solved_default: True
time_safety:               0.09981564921326935
edge_variables=1:          19
edge_variables>=1:         14
preprocess_safety:         0.0009876310359686613
number_of_nontrivial_SCCs: 2
size_of_largest_SCC:       11
solved_safety: True
#Graph gt5.kmer27.(2715000.2720000).V24.E36.mincyc20
36,36,5
time_default: 0.33155809598974884
solved_default: True
time_safety:               0.14577077608555555
edge_variables=1:          19
edge_variables>=1:         21
preprocess_safety:         0.0014279817696660757
number_of_nontrivial_SCCs: 3
size_of_largest_SCC:       18
solved_safety: True
#Graph gt5.kmer27.(2630000.2635000).V7.E11.mincyc1
11,11,5
time_default: 0.04357845801860094
solved_default: True
time_safety:               0.038409163942560554
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.00036929594352841377
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(4315000.4320000).V6.E10.mincyc1
10,10,5
time_default: 0.03443154599517584
solved_default: True
time_safety:               0.032681555952876806
edge_variables=1:          19
edge_variables>=1:         1
preprocess_safety:         0.0003375359810888767
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       1
solved_safety: True
#Graph gt5.kmer27.(250000.255000).V20.E28.mincyc1
28,28,4
time_default: 0.09948970377445221
solved_default: True
time_safety:               0.08116954914294183
edge_variables=1:          24
edge_variables>=1:         3
preprocess_safety:         0.0010622718837112188
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(2310000.2315000).V7.E11.mincyc1
11,11,5
time_default: 0.05646085203625262
solved_default: True
time_safety:               0.046762179117649794
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.00037762196734547615
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(3140000.3145000).V7.E11.mincyc1
11,11,5
time_default: 0.05175272608175874
solved_default: True
time_safety:               0.04378943610936403
edge_variables=1:          19
edge_variables>=1:         3
preprocess_safety:         0.0003662998788058758
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(410000.415000).V24.E37.mincyc11
37,37,5
solved_default: None
time_safety:               0.15847579599358141
edge_variables=1:          22
edge_variables>=1:         15
preprocess_safety:         0.0015450019855052233
number_of_nontrivial_SCCs: 2
size_of_largest_SCC:       18
solved_safety: True
#Graph gt5.kmer27.(2900000.2905000).V12.E21.mincyc6
21,21,5
time_default: 0.12859459896571934
solved_default: True
time_safety:               0.0855433449614793
edge_variables=1:          19
edge_variables>=1:         7
preprocess_safety:         0.0007988559082150459
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       12
solved_safety: True
#Graph gt5.kmer27.(4485000.4490000).V9.E14.mincyc1
14,14,5
time_default: 0.06467142002657056
solved_default: True
time_safety:               0.0517649301327765
edge_variables=1:          20
edge_variables>=1:         3
preprocess_safety:         0.00048747798427939415
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       2
solved_safety: True
#Graph gt5.kmer27.(2545000.2550000).V12.E18.mincyc2
18,18,5
time_default: 0.07573954295367002
solved_default: True
time_safety:               0.06406116881407797
edge_variables=1:          20
edge_variables>=1:         5
preprocess_safety:         0.0006278541404753923
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       6
solved_safety: True
#Graph gt5.kmer27.(2800000.2805000).V9.E14.mincyc2
14,14,5
time_default: 0.06000808905810118
solved_default: True
time_safety:               0.047244489192962646
edge_variables=1:          19
edge_variables>=1:         6
preprocess_safety:         0.0004734031390398741
number_of_nontrivial_SCCs: 1
size_of_largest_SCC:       5
solved_safety: True
#Graph gt5.kmer27.(1805000.1810000).V25.E36.mincyc96
36,36,5
time_default: 0.17474776995368302
solved_default: True
time_safety:               0.12707605585455894
edge_variables=1:          19
edge_variables>=1:         16
preprocess_safety:         0.0015520150773227215
